City,Name,Working Hours,Location,Phone Number
Скопје,Индустриска,00.00 - 24.00,Бул. Едвард Кардељ бр.1; 1000 Скопје,3153001
Скопје,Партизанска,00.00 - 24.00,Бул. Партизански Одреди бр.82; 1000 Скопје,3153002
Скопје,Иво Лола Рибар,06:00 - 22:00,ул. Митрополит Теодосиј Гологанов бр.104; 1000 Скопје,3153003
Скопје,Козле,00.00 - 24.00,ул. Козле бр.89; 1000 Скопје,3153004
Скопје,Сајмиште 1,06.00 - 20.00; Недела не работи,Бул. Гоце Делчев бр.20; 1000 Скопје,3153005
Автопат Скопје-Куманово,Белви,06.00 - 18.00,Автопат Скопје-Куманово; 1041 Илинден,3153006
Скопје,Сингелиќ,00.00 - 24.00,ул. Методија Андонов-Ченто бр.146-А; 1000 Скопје,3153007
Скопје,Визбегово 1,00.00 - 24.00,ул. Јадранска Магистрала бр.54; 1000 Скопје,3153008
Скопје,Визбегово 2,06.00 - 20.00; Сабота 06.00 - 13.00; Недела не работи,ул. Јадранска Магистрала бр.17; 1000 Скопје,3153009
Тетово,Тетово 1,00.00 - 24.00,Скопски Пат; 1200 Тетово,3153010
Гостивар,Гостивар 1,00.00 - 24.00,ул. Борис Кидрич бр.бб; 1230 Гостивар,3153011
Дебар,Дебар,00.00 - 24.00,ул. Велко Влаховиќ; бр.29; 1250 Дебар,3153012
Куманово,Куманово 1,00.00 - 24.00,ул. 11-ти Октомври бр.91; 1300 Куманово,3153013
Куманово,Куманово 2,06.00 - 22.00,ул. Доне Божинов бр.45; 1300 Куманово,3153014
Крива Паланка,Крива Паланка,06.00 - 22.00,ул. Маршал Тито бр.26; 1330 Крива Паланка,3153015
Битола,Битола 1,00.00 - 24.00,ул. Прилепска бр.63; 7000 Битола,3153016
Битола,Битола 2,00.00 - 24.00,ул. Иво Лола Рибар бр.30; 7000 Битола,3153017
Автопат Скопје-Велес,Катланово,00.00 - 24.00,Автопат Скопје-Велес; 1043 Петровец,3153018
Демир Хисар,Демир Хисар,06.00 - 22.00,ул. Битолска бр.61; 7240 Демир Хисар,3153019
Ресен,Ресен,00.00 - 24.00,ул. Корчуланска бр.29; 7310 Ресен,3153020
Охрид,Охрид 1,06.00 - 22.00,ул. 7-ми Ноември; бр.284В; 6000 Охрид,3153021
Охрид,Билјанини Извори,00.00 - 24.00,Булевар Туристичка бр.2А; 6000 Охрид,3153022
Охрид,Подмоље,00.00 - 24.00,Населено Место Без Уличен систем; Подмоље; 6000 Охрид,3153023
Струга,Струга,00.00 - 24.00,ул. Пролетерски Бригади бр.68; 6330 Струга,3153024
Прилеп,Прилеп 1,06.00 - 22.00,ул. Александар Македонски бр.114; 7500 Прилеп,3153025
Прилеп,Прилеп 2,00.00 - 24.00,ул. Марксова бр.44Б; 7500 Прилеп,3153026
Крушево,Крушево,06.00 - 17.00,бр. м.в. Порта; 7550 Крушево,3153027
Кочани,Кочани 1,06.00 - 22.00,ул. Никола Карев бр.2; 2300 Кочани,3153028
Кочани,Кочани 2,06.00 - 22.00,ул. Тодосие Паунов бр.34/А; 2300 Кочани,3153029
Кочани,Кочани 3,00.00 - 24.00,ул. Димитар Влахов бр.111; 2300 Кочани,3153030
Виница,Виница,06.00 - 22.00,ул. Индустриска бр.2; 2310 Виница,3153031
Делчево,Делчево 1,07.00 - 19.00,Булевар Македонија бр.4А; 2320 Делчево,3153032
Берово,Берово,06.00 - 22.00,ул. Маршал Тито бр.3/А; 2330 Берово,3153033
Велес,Велес 1,00.00 - 24.00,ул. Димитар Влахов бр.71; 1400 Велес,3153034
Велес,Велес 2,00.00 - 24.00,ул. Алексо Демниевски - Бауман бр.16; 1400 Велес,3153035
Градско,Градско 1,06.00 - 22.00,ул.Александар Македонски бр.108 Градско,3153036
Неготино,Неготино,00.00 - 24.00,ул. Маршал Тито бр.2А; 1440 Неготино,3153037
Кавадарци,Кавадарци,00.00 - 24.00,ул. 29-ти Ноември бр.38; 1430 Кавадарци,3153038
Гевгелија,Гевгелија 1,06.00 - 22.00,Булевар Гевгелија бр.22; 1480 Гевгелија,3153039
Прилеп,Ропотово,07.00 - 19.00; Сабота 07.00 - 12.00; Недела не работи,С.Ропотово; 7500 Прилеп,3153040
Јегуновце,Вратница,07.00 - 14.00; Сабота 07.00 - 12.00; Недела не работи,Вратница; 1225 Јегуновце,3153041
Автопат Скопје-Гевгелија,Демир Капија,00.00 - 24.00,бр.Автопат Скопје-Гевгелија/Демир Капија; 1442 Демир Капија,3153042
Богданци,Богданци,06.00 - 22.00,Регионален Пат Р-1109 бр.51; Богданци,3153043
Дојран,Дојран,00.00 - 24.00,ул. Маршал Тито бр.26; Нов Дојран; Дојран,3153044
Штип,Три Чешми 1,00.00 - 24.00,бр. Автопат Штип/Скопје; 2205 Три Чешми; Штип,3153045
Гевгелија,Гевгелија 2,00.00 - 24.00,бр.Гран. Премин Богородица/бр.3; 1480 Гевгелија,3153046
Радовиш,Радовиш,00.00 - 24.00,Булевар Александар Македонски бр.21; 2420 Радовиш,3153047
Кратово,Кратово,06.00 - 22.00,ул. Гоце Делчев бр.127; 1360 Кратово,3153048
Пробиштип,Пробиштип,06.00 - 22.00,ул. ЈНА бр.65; 2210 Пробиштип,3153049
Струмица,Струмица,00.00 - 24.00,ул. Гоце Делчев бр.56; 2400 Струмица,3153050
Струмица,Струмица 2,00.00 - 24.00,ул. Климент Охридски бр.14; 2400 Струмица,3153051
Прилеп,Прилеп 4,06.00 - 22.00,Булевар Маршал Тито бр.128-А; 7500 Прилеп,3153052
Скопје,Лисиче,00.00 - 24.00,Булевар Србија бр.26; 1000 Скопје,3153053
Кичево,Кичево 1,06.00 - 22.00,Магистрален пат бр.4; 6250 Кичево,3153054
Свети Николе,Свети Николе,06.00 - 22.00,ул. Маршал Тито бр.100; 2220 Свети Николе,3153055
